,n,MB,MAGE,RMSE,IOA,r,Mm,Om,Msd,Osd,name
rh,111,2.44,7.97,9.74,0.9,0.83,66.43,63.99,16.48,15.84,LPOV
rh,57,0.75,6.88,9.01,0.93,0.87,71.07,70.32,17.88,18.27,LPMT
rh,161,2.06,8.08,9.71,0.93,0.9,65.6,63.54,21.49,16.98,LPST
rh,169,-0.3,5.75,7.94,0.96,0.92,63.4,63.7,19.81,19.29,LPAR
rh,161,0.63,6.98,9.26,0.83,0.69,86.72,86.09,10.81,12.46,LPPT
rh,169,-8.08,9.71,12.75,0.84,0.81,76.0,84.08,16.08,16.04,LPCS
tc,44,-0.59,1.32,1.58,0.95,0.93,26.43,27.02,3.54,4.0,LPPR
tc,111,-0.45,1.26,1.59,0.93,0.9,21.39,21.84,2.75,3.45,LPOV
tc,57,0.06,1.07,1.39,0.96,0.94,21.02,20.96,3.13,3.86,LPMT
tc,161,-0.98,1.56,1.93,0.95,0.92,21.46,22.45,4.26,4.22,LPST
tc,161,0.49,1.7,2.15,0.79,0.78,18.12,17.63,1.72,3.13,LPPT
tc,169,0.02,0.97,1.35,0.96,0.93,21.56,21.54,3.43,3.63,LPAR
tc,169,1.24,1.91,2.5,0.81,0.81,19.21,17.97,2.22,3.57,LPCS
wd,166,5.94,12.92,,,,,,,,LPAR
wd,159,3.97,30.55,,,,,,,,LPCS
wd,131,-18.59,38.95,,,,,,,,LPPT
wd,159,1.02,16.04,,,,,,,,LPST
wd,110,-2.76,9.51,,,,,,,,LPOV
wd,56,9.77,15.72,,,,,,,,LPMT
ws,58,-0.09,0.68,0.86,0.92,0.87,4.88,4.97,1.4,1.73,LPMT
ws,161,0.44,1.18,1.44,0.82,0.71,3.58,3.13,1.56,1.94,LPPT
ws,169,-0.47,1.17,1.47,0.71,0.56,4.97,5.44,1.2,1.66,LPAR
ws,161,1.14,1.6,1.93,0.7,0.66,5.05,3.91,2.08,1.43,LPST
ws,111,-1.0,1.68,2.02,0.8,0.71,6.84,7.84,2.25,2.36,LPOV
ws,169,0.16,0.96,1.25,0.87,0.78,3.05,2.89,1.54,1.99,LPCS
